logical_no,source_rows,section,section_code,feature_code,tariff_code,service_code,fee_code,name_fa,calc_source_type,calc_strategy,basis_type,fixed_amount,source_percent,rate_value,min_fee,max_fee,rate_period_code,currency_code,source_notes,source_service_text,source_max_text,import_status,review_reason,config_hash,tier_first_upper
11,12,"صدور ضمانتنامه شرکت در مناقصه , مزایده و سایر ضمانت نامه ها",GAR,CBI_GUARANTEE_FEE_GROUP,1-11,,CBI1404_GAR_1_11_01,ضمانت نامه در مقابل سهام پذیرفته شده در بورس****,درصد,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,1,0.01,812500,,YEAR,IRR,,"1 درصد مبلغ در سال حداقل 812,500 ریال",ضمانت نامه در مقابل سهام پذیرفته شده در بورس****,SAFE,,715b54003a5fe9ea0096ca9f81c39b2d4b044630d9fdd67efa35b0587d5d3258,
12,13,"صدور ضمانتنامه شرکت در مناقصه , مزایده و سایر ضمانت نامه ها",GAR,CBI_GUARANTEE_FEE_GROUP,1-12,,CBI1404_GAR_1_12_01,ضمانت نامه در مقابل اموال غیرمنقول سهل البیع(با تشخیص بانک),درصد,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,1,0.01,812500,,YEAR,IRR,,"1 درصد مبلغ در سال حداقل 812,500 ریال",ضمانت نامه در مقابل اموال غیرمنقول سهل البیع(با تشخیص بانک),SAFE,,122a2816b02713fd44c836644c59b1664c47365abd3b1d4ed07669ede7654c78,
13,14,"صدور ضمانتنامه شرکت در مناقصه , مزایده و سایر ضمانت نامه ها",GAR,CBI_GUARANTEE_FEE_GROUP,1-13,,CBI1404_GAR_1_13_01,ضمانت نامه در مقابل سایر اموال غیرمنقول,درصد,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,1.5,0.015,812500,,YEAR,IRR,,"1/5 درصد مبلغ در سال حداقل 812,500 ریال",ضمانت نامه در مقابل سایر اموال غیرمنقول,SAFE,,7add162dc7ad9b36462e742fbe6c8ebf1dd13ed341d66e9860327a26c1ef4fb0,
14,15,"صدور ضمانتنامه شرکت در مناقصه , مزایده و سایر ضمانت نامه ها",GAR,CBI_GUARANTEE_FEE_GROUP,1-14,,CBI1404_GAR_1_14_01,ضمانت نامه در مقابل توثیق سند کشتی و هواپیما دارای بیمه نامه معتبر,درصد,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,1.5,0.015,812500,,YEAR,IRR,,"1/5 درصد مبلغ در سال حداقل 812,500 ریال",ضمانت نامه در مقابل توثیق سند کشتی و هواپیما دارای بیمه نامه معتبر,SAFE,,a2cd6034bde74dd2e03c2e24717e823d68e5690c3903b87fbc8d402019065f6a,
15,16,"صدور ضمانتنامه شرکت در مناقصه , مزایده و سایر ضمانت نامه ها",GAR,CBI_GUARANTEE_FEE_GROUP,1-15,,CBI1404_GAR_1_15_01,ضمانت نامه در مقابل سفته معتبر,درصد,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,2.25,0.0225,812500,,YEAR,IRR,,"2/25 درصد مبلغ در سال حداقل 812,500 ریال",ضمانت نامه در مقابل سفته معتبر,SAFE,,37278d29ae28536a2dde1020a030f1342380a5a7042b5b9944e82c8a6b056de2,
16,17,"صدور ضمانتنامه شرکت در مناقصه , مزایده و سایر ضمانت نامه ها",GAR,CBI_GUARANTEE_FEE_GROUP,1-16,,CBI1404_GAR_1_16_01,ضمانت نامه در مقابل رسید انبارهای عمومی,درصد,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,2,0.02,812500,,YEAR,IRR,,"2 درصد مبلغ در سال حداقل 812,500 ریال",ضمانت نامه در مقابل رسید انبارهای عمومی,SAFE,,31f6f8cc604eeda5d97ea70f57e4363bf2721b6a56b01af151982d6af0dc9fb2,
17,18,"صدور ضمانتنامه شرکت در مناقصه , مزایده و سایر ضمانت نامه ها",GAR,CBI_GUARANTEE_FEE_GROUP,1-17,,CBI1404_GAR_1_17_01,تمدید و تجدیدضمانت نامه,,EXTERNAL_VALUE,Other,,,,,,,IRR,,"کارمزد تمدید برابر با نرخ صدور ضمانت نامه در زمان تمدید حداقل 812,500 ریال",تمدید و تجدیدضمانت نامه کارمزد تمدید برابر با نرخ صدور ضمانت نامه در زمان تمدید,EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,94bd7028db526580226369582d5f7f1c68324b0f4b55166113d416a8435fa2a7,
18,19,"صدور ضمانتنامه شرکت در مناقصه , مزایده و سایر ضمانت نامه ها",GAR,CBI_GUARANTEE_FEE_GROUP,1-18,,CBI1404_GAR_1_18_01,تقلیل ضمانت نامه,,EXTERNAL_VALUE,Other,,,,,,,IRR,,"کارمزد اخذ شده در هنگام صدور نسبت به مابه التفاوت مبلغ برای مدت باقی مانده پس از کسر یک ماه به نفع بانک محاسبه و مسترد می گردد، حداقل مبلغ کارمزد صدور ضمانت نامه (812,500 ریال) غیرقابل برگشت می باشد .",تقلیل ضمانت نامه,EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,0723d37d8ea2dca7ab5b95643e95577005dfe6a3fc728df18bdb0d0c765274ac,
19,20,"صدور ضمانتنامه شرکت در مناقصه , مزایده و سایر ضمانت نامه ها",GAR,CBI_GUARANTEE_FEE_GROUP,1-18,,CBI1404_GAR_1_18_02,ابطال ضمانت نامه قبل از سررسید (غیر از ضبط ضمانت نامه),,EXTERNAL_VALUE,Other,,,,,,,IRR,,"کارمزد اخذ شده در هنگام صدور نسبت به مابه التفاوت مبلغ برای مدت باقی مانده پس از کسر یک ماه به نفع بانک محاسبه و مسترد می گردد، حداقل مبلغ کارمزد صدور ضمانت نامه (812,500 ریال) غیرقابل برگشت می باشد .",,EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,8e605b89a1aea472e3193bbd8aa097799bee5e64f2b3f2c194544d00d6ad1ead,
20,21,"صدور ضمانتنامه شرکت در مناقصه , مزایده و سایر ضمانت نامه ها",GAR,CBI_GUARANTEE_FEE_GROUP,1-20,,CBI1404_GAR_1_20_01,صدور المثنی ضمانت نامه های بانکی,مبلغ ثابت,FIXED,Flat,812500,,,,,,IRR,,"مقطوع 812,500 ریال",صدور المثنی ضمانت نامه های بانکی,SAFE,,e553683b99702147870a97233d8b0473e0066b7593d57a62a7f87532e80e6df8,
21,22,"صدور ضمانتنامه شرکت در مناقصه , مزایده و سایر ضمانت نامه ها",GAR,CBI_GUARANTEE_FEE_GROUP,1-21,,CBI1404_GAR_1_21_01,در مقابل سایر وثایق(برای برخی اسناد ریز تجاری),درصد,ANNUALIZED_PERCENTAGE,Percentage,,2.25,0.0225,,,YEAR,IRR,,2/25 درصد در سال,در مقابل سایر وثایق(برای برخی اسناد ریز تجاری),SAFE,,187810c95f9c640e5a3c4e9b0f4e3a3ecf2580bc6889b12a65c44d8df107f397,
22,23,"صدور ضمانتنامه شرکت در مناقصه , مزایده و سایر ضمانت نامه ها",GAR,CBI_GUARANTEE_FEE_GROUP,1-22,,CBI1404_GAR_1_22_01,انتقال ذی نفع ضمانت نامه,درصد,PERCENTAGE_WITH_FLOOR,RateWithMinimumAmount,,0.05,0.0005,812500,,,IRR,,"حداکثر معادل نیم در هزار مبلغ ضمانت نامه صرفاً بر عهده تأمین کننده با لحاظ حداقل مبلغ کارمزد 812,500 ریال مشابه کارمزد صدور ضمانت نامه",انتقال ذی نفع ضمانت نامه,SAFE,,8f49cf13aef2dd7cfa63875b68cd2120287616cdc8da6a71aff8e4e7e813f3bc,
23,24,حواله ها,REM,CBI_REMITTANCE_FEE_GROUP,2-1,,CBI1404_REM_2_1_01,صدور چک تضمین شده(بانکی/ رمزدار بین بانکی),مبلغ ثابت,FIXED,Flat,90000,,,,,,IRR,فقره,"هر فقره 90,000 ریال",صدور چک تضمین شده(بانکی/ رمزدار بین بانکی),SAFE,,0d5427706d9845402a41102a0b863aa26177570ea88389a1ac1d81d71a825c54,
24,25,حواله ها,REM,CBI_REMITTANCE_FEE_GROUP,2-2,,CBI1404_REM_2_2_01,اعلام منع پرداخت چک های بانکی/ بین بانکی مفقودی,مبلغ ثابت,FIXED,Flat,720000,,,,,,IRR,,"مقطوع 720,000 ریال",اعلام منع پرداخت چک های بانکی/ بین بانکی مفقودی,SAFE,,f91ead5bbee0c2d4816332e84d66d3365b37a3744f6bea0f5b5b73162e57eca3,
25,26,حواله ها,REM,CBI_REMITTANCE_FEE_GROUP,2-3,,CBI1404_REM_2_3_01,صدور المثنی چک بانکی,مبلغ ثابت,FIXED,Flat,90000,,,,,,IRR,فقره,"هر فقره 90,000 ریال",صدور المثنی چک بانکی,SAFE,,c620fbdd34011eb8d48854606f7b79cee3cddc53b3fa977ec835c9d8f362fb39,
26,27,حواله ها,REM,CBI_REMITTANCE_FEE_GROUP,2-4,,CBI1404_REM_2_4_01,ابطال چک بانکی / بین بانکی به درخواست مشتری,مبلغ ثابت,FIXED,Flat,18000,,,,,,IRR,فقره,"هر فقره 18,000 ریال",ابطال چک بانکی / بین بانکی به درخواست مشتری,SAFE,,a94edf9d6efd0da0ff852a6453df9e6db7744b8cf3788121d384cd679418d2c5,
27,28,صندوق های اجاره ای,SDB,CBI_SAFE_DEPOSIT_FEE_GROUP,3-1,,CBI1404_SDB_3_1_01,صندوق اجاره ای(اجاره بها سالانه، ودیعه),,EXTERNAL_VALUE,Other,,,,,,,IRR,,"هر سانتی متر مکعب 180 ریال(حداقل 900,000 ریال) ، همچنین حجم ودیعه اجاره بها 8 برابر مبلغ اجاره بها، حداقل مبلغ 7,200,000 ریال",صندوق اجاره ای(اجاره بها ساالنه، ودیعه),EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,1e7d4f7503585709aa77f8c2844ba3c879510a92ae06d134074ca0efc08a9679,
28,29,صندوق های اجاره ای,SDB,CBI_SAFE_DEPOSIT_FEE_GROUP,3-2,,CBI1404_SDB_3_2_01,هر بار استفاده از صندوق,مبلغ ثابت,FIXED,Flat,75000,,,,,,IRR,,"هر بار استفاده از صندوق 75,000 ریال",,SAFE,,c369166dcb08f1dccf2d145f144867dc2ed723da33babea4b73d7cb40c467b8a,
29,30,صندوق های اجاره ای,SDB,CBI_SAFE_DEPOSIT_FEE_GROUP,3-3,,CBI1404_SDB_3_3_01,مفقودی کلیدها,مبلغ ثابت,FIXED,Flat,180000,,,,,,IRR,کلیه هزینه های مربوط به قفل ها و کلید ها,"کلیه هزینه های مربوط به قفل ها و کلید ها + 180,000 ریال",مفقودی کلیدها,SAFE,,27937dac4ac85e24ff8aa9078b3aaca47fefb94f4d2759e0e0f79e14722d1b32,
30,31,صندوق های اجاره ای,SDB,CBI_SAFE_DEPOSIT_FEE_GROUP,3-4,,CBI1404_SDB_3_4_01,تخلیه و تحویل صندوق,مبلغ ثابت,FIXED,Flat,0,,,,,,IRR,,بدون کارمزد,تخلیه و تحویل صندوق,SAFE,,116061667a9c4fef71561bb493bf6be79d3041cded2dca61668893f725a16858,
31,32,صندوق های اجاره ای,SDB,CBI_SAFE_DEPOSIT_FEE_GROUP,3-5,,CBI1404_SDB_3_5_01,هماهنگی جهت بازدید صندوق اجاره ای به درخواست مراجع ذی صالح بدون کارمزد,مبلغ ثابت,FIXED,Flat,0,,,,,,IRR,,بدون کارمزد,هماهنگی جهت بازدید صندوق اجاره ای به درخواست مراجع ذی صالح بدون کارمزد,SAFE,,c2eb359447f0f76ad53bb4f468cef421458704aec541ecc34544e312454e769e,
32,33,"مدیریت اوراق بهادار مشتریان (اوراق مشارکت , گواهی سپرده , صکوک و ...)",SEC,CBI_SECURITIES_FEE_GROUP,4-1,,CBI1404_SEC_4_1_01,انتقال هر برگ اوراق گواهی حق تقدم اعطای تسهیلات,مبلغ ثابت,FIXED,Flat,41250,,,,,,IRR,هر برگ,"41,250 ریال",انتقال هر برگ اوراق گواهی حق تقدم اعطای تسهیلات,SAFE,,75c084b98f68259e8a6e8b95fe1525b9e80efb4f9beae83c0e33b9b5504af7aa,
33,34,"مدیریت اوراق بهادار مشتریان (اوراق مشارکت , گواهی سپرده , صکوک و ...)",SEC,CBI_SECURITIES_FEE_GROUP,4-2,,CBI1404_SEC_4_2_01,صدور هر برگ اوراق المثنی اوراق حق تقدم اعطای تسهیلات,مبلغ ثابت,FIXED,Flat,68750,,,,,,IRR,هر برگ,"68,750 ریال",,SAFE,,709cccdff6b904a489394c6c385e90d8b2b9812593ff2ce98b6704919855cfd2,
34,35,"مدیریت اوراق بهادار مشتریان (اوراق مشارکت , گواهی سپرده , صکوک و ...)",SEC,CBI_SECURITIES_FEE_GROUP,4-3,,CBI1404_SEC_4_3_01,تضمین اصل و سود اوراق بهادار(شامل اوراق مشارکت، صکوک و ...) توسط بانک عامل *,,EXTERNAL_VALUE,Other,,,,,,,IRR,,حداقل به میزان کارمزد صدور ضمانت نامه ها متناسب با وثایق و حداکثر تا دو برابر آن,تضمین اصل و سود اوراق بهادار(شامل اوراق مشارکت، صکوک و ...) توسط بانک عامل *,EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,638d44e08e02af3c94f21bdbde8632fbc523723dcd173cd11f6fb8f5e69135fa,
35,36,"مدیریت اوراق بهادار مشتریان (اوراق مشارکت , گواهی سپرده , صکوک و ...)",SEC,CBI_SECURITIES_FEE_GROUP,4-4,,CBI1404_SEC_4_4_01,انتقال اوراق بهادار/ نقل و انتقال اوراق گواهی سپرده با نام به شخص ثالث,درصد,PERCENTAGE_WITH_CAP,RateWithMaximumAmount,,0.05,0.0005,,300000,,IRR,,"نیم در هزار مبلغ مورد انتقال حداکثر 300,000 ریال",انتقال اوراق بهادار/ نقل و انتقال اوراق گواهی سپرده با نام به شخص ثالث,SAFE,,d1497c45ed0c7ebbd0c109274bfc27f1c683ab118a74042a2db184e0ef8b1288,
36,37,"مدیریت اوراق بهادار مشتریان (اوراق مشارکت , گواهی سپرده , صکوک و ...)",SEC,CBI_SECURITIES_FEE_GROUP,4-5,,CBI1404_SEC_4_5_01,کارمزد عاملیت و ضمانت اوراق گواهی اعتبار مولد(گام),,EXTERNAL_VALUE,Other,,,,,,,IRR,,حداکثر به میزان کارمزد صدور ضمانت نامه ها و متناسب با وثایق دریافتی,کارمزد عاملیت و ضمانت اوراق گواهی اعتبار مولد(گام),EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,fa12a2f2c28fc13d1901691a3e408ec02ebcb69e4038c76b401faafbcd52ac89,
37,38,"مدیریت اوراق بهادار مشتریان (اوراق مشارکت , گواهی سپرده , صکوک و ...)",SEC,CBI_SECURITIES_FEE_GROUP,4-6,,CBI1404_SEC_4_6_01,کارمزد انتقال اوراق گواهی اعتبار مولد(گام),درصد,PERCENTAGE,Percentage,,0.1,0.001,,,,IRR,,حداکثر به میزان یک دهم درصد مبلغ اوراق انتقال یافته,کارمزد انتقال اوراق گواهی اعتبار مولد(گام),SAFE,,59c646ef83c2ecf557e2be4d8430ff18a855dd808fddb17b753bc92c27e24b29,
38,39,"مدیریت اوراق بهادار مشتریان (اوراق مشارکت , گواهی سپرده , صکوک و ...)",SEC,CBI_SECURITIES_FEE_GROUP,4-7,,CBI1404_SEC_4_7_01,بررسی و پذیرش مطالبات قراردادی با موضوع تأمین کالا,درصد,PERCENTAGE,Percentage,,0.05,0.0005,,,,IRR,,حداکثر معادل نیم در هزار اصل مبلغ مطالبات قراردادی پذیرش شده,بررسی و پذیرش مطالبات قراردادی با موضوع تأمین کاال,SAFE,,baa4037d81da458e87ad6ab1680557f68fa806e260518dc11d9eb9e6e423f582,
39,40,"مدیریت اوراق بهادار مشتریان (اوراق مشارکت , گواهی سپرده , صکوک و ...)",SEC,CBI_SECURITIES_FEE_GROUP,4-8,,CBI1404_SEC_4_8_01,بررسی و پذیرش مطالبات قراردادی با موضوع تأمین خدمات,درصد,PERCENTAGE,Percentage,,0.15,0.0015,,,,IRR,,حداکثر معادل یک و نیم در هزار اصل مبلغ مطالبات قراردادی پذیرش شده,بررسی و پذیرش مطالبات قراردادی با موضوع تأمین خدمات,SAFE,,3f9906029ff92f79d6cef3b838904fda1b38a5171ecf53f63fbce58282976635,
40,41,"مدیریت اوراق بهادار مشتریان (اوراق مشارکت , گواهی سپرده , صکوک و ...)",SEC,CBI_SECURITIES_FEE_GROUP,4-9,,CBI1404_SEC_4_9_01,کارت رفاهی متصل به اوراق گواهی اعتبار مولد(گام) (به صورت اقساط مساوی در دوره بازپرداخت),درصد,PERCENTAGE,Percentage,,3,0.03,,,,IRR,,حداکثر به میزان 3 درصد,کارت رفاهی متصل به اوراق گواهی اعتبار مولد(گام) (به صورت اقساط مساوی در دوره بازپرداخت),SAFE,,b19d0d98bebb51fddf31bf17d79a01cdf980fdaa2c7e4673dac1af7012cc8a93,
41,42,وصول بروات,COL,CBI_BILL_COLLECTION_FEE_GROUP,5-1,,CBI_BILL_COLLECTION_FEE,سفته، برات و قبوض ثبتی وصولی,مبلغ ثابت,FIXED,Flat,90000,,,,,,IRR,هزینه پست,"هر فقره 90,000 ریال+ هزینه پست",سفته، برات و قبوض ثبتی وصولی هر فقره,EXISTING_ENRICHED,,9231ff460bcdfe14b1662de6990fefccc9610a99bf6d8bfb3f30d448a5519f27,
42,43,وصول بروات,COL,CBI_BILL_COLLECTION_FEE_GROUP,5-2,,CBI1404_COL_5_2_01,ابلاغ سفته و برات,مبلغ ثابت,FIXED,Flat,54000,,,,,,IRR,هزینه پست,"برای هر نوبت 54,000 ریال+ هزینه پست",ابالغ سفته و براتبرای هر نوبت,SAFE,,fd62527d7303e60f34d1771c36a87d5c399b9535cda5cf9d5cc0ec95ff99e0d7,
43,44,وصول بروات,COL,CBI_BILL_COLLECTION_FEE_GROUP,5-3,,CBI1404_COL_5_3_01,واخواست سفته,مبلغ ثابت,FIXED,Flat,720000,,,,,,IRR,برگ,"برای هر برگ 720,000 ریال",واخواست سفتهبرای هر برگ,SAFE,,8b50a0a331aa16daf801d7b768578de80de0d5602b52d52d1dfdecc9c717a69a,
44,45,وصول بروات,COL,CBI_BILL_COLLECTION_FEE_GROUP,5-4,,CBI1404_COL_5_4_01,فروش سفته/ بارنامه (از متقاضی),مبلغ ثابت,EXTERNAL_VALUE,Other,,,,,,,IRR,برگ,"برای هر برگ 7,500 ریال حداکثر 1,500,000 ریال",فروش سفته/ بارنامه (از متقاضی)برای هر برگ,REVIEW_CONFLICT,"مبلغ ساختاری 75,000 ریال است ولی متن نوع خدمت 7,500 ریال برای هر برگ ذکر می‌کند؛ نیازمند تأیید منبع مقرراتی.",309b3f12a13fa7e6d08f14770df72f3a4613ae5af9486803ec20ab1aa034baef,
45,46,حساب قرض الحسنه جاری,CUR,CBI_CURRENT_ACCOUNT_FEE_GROUP,6-1-1,,CBI1404_CUR_6_1_1_01,تقاضای عدم پرداخت چک,مبلغ ثابت,FIXED,Flat,180000,,,,,,IRR,برگ چک,"هر برگ 180,000 ریال",تقاضای عدم پرداخت چکهر برگ چک,SAFE,,8a697f2574c8862883f6fe0bd929ab25121303483a28fb61aec6c2129fedb2f4,
46,47,حساب قرض الحسنه جاری,CUR,CBI_CURRENT_ACCOUNT_FEE_GROUP,6-1-2,,CBI1404_CUR_6_1_2_01,صدور گواهی نامه عدم پرداخت وجه چک(از حساب مشتری),مبلغ ثابت,FIXED,Flat,180000,,,,,,IRR,,"180,000 ریال",صدور گواهی نامه عدم پرداخت وجه چک(از حساب مشتری),SAFE,,a711ffecee4ae9300ec43352af89e684f31dbccd4965911ac12fee7f78c9dc96,
47,48,حساب قرض الحسنه جاری,CUR,CBI_CURRENT_ACCOUNT_FEE_GROUP,6-1-3,,CBI1404_CUR_6_1_3_01,رفع سوء اثر برای هر برگ چک,مبلغ ثابت,FIXED,Flat,180000,,,,,,IRR,,"180,000 ریال",رفع سوء اثر برای هر برگ چک,SAFE,,bae3ba9bd8646013a77cfdaf9ba92cb19e139e61cb7cb8820a11928066852cef,
48,49,حساب قرض الحسنه جاری,CUR,CBI_CURRENT_ACCOUNT_FEE_GROUP,6-1-4,,CBI1404_CUR_6_1_4_01,صدور چک آمنیبوس,مبلغ ثابت,FIXED,Flat,81250,,,,,,IRR,,"81,250 ریال",صدور چک آمنیبوس,SAFE,,5f21d7f211aef3cc7ff7f449576a633d79f92e96326aad2a0bc3d221abb301c8,
49,50,حساب قرض الحسنه جاری,CUR,CBI_CURRENT_ACCOUNT_FEE_GROUP,6-1-5,,CBI1404_CUR_6_1_5_01,انتقال حساب جاری به شعبه دیگر در هر شهر(بنا به درخواست مشتری),مبلغ ثابت,FIXED,Flat,540000,,,,,,IRR,هزینه پست,"540,000 ریال+ هزینه پست در صورت وجود",انتقال حساب جاری به شعبه دیگر در هر شهر(بنا به درخواست مشتری),SAFE,,17143ac8d300b7b83295391373c2ba1f6940d7a443c64ad7622995681a951ac7,
50,51,حساب قرض الحسنه جاری,CUR,CBI_CURRENT_ACCOUNT_FEE_GROUP,6-1-5,,CBI1404_CUR_6_1_5_02,اخذ هر گونه اطلاعات لازم جهت افتتاح حساب جاری (با دست چک),,EXTERNAL_VALUE,Other,,,,,,,IRR,"هزینه استعلام (هزینه استعلام شامل استعلام از سامانه شاهکار , اخذ تاییدیه و ... می باشد)","حداقل 75,000 ریال + هزینه استعلام (هزینه استعلام شامل استعلام از سامانه شاهکار , اخذ تاییدیه و ... می باشد)",,EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,beb3e337f12b9c279ad51020d0519dcc7467440d1db804747d4d8db4536a4fc7,
51,52,حساب قرض الحسنه جاری,CUR,CBI_CURRENT_ACCOUNT_FEE_GROUP,6-1-7,,CBI1404_CUR_6_1_7_01,چک های واگذاری عهده سایر بانک ها(از ذی نفع چک),مبلغ ثابت,FIXED,Flat,18000,,,,,,IRR,فقره,"هر فقره 18,000 ریال",چک های واگذاری عهده سایر بانک ها(از ذی نفع چک) هر فقره,SAFE,,28a5a9abf9d24eab36a6778087260a83b9d8ec6196ab3446763ae6ffc394d7af,
52,53,حساب قرض الحسنه جاری,CUR,CBI_CURRENT_ACCOUNT_FEE_GROUP,6-1-8,,CBI1404_CUR_6_1_8_01,انتقال وجه از سایر حساب ها بابت تأمین وجه چک حساب,مبلغ ثابت,FIXED,Flat,90000,,,,,,IRR,,"از هر حساب 90,000 ریال",انتقال وجه از سایر حساب ها بابت تأمین وجه چک حساباز هر حساب,SAFE,,1ad9d377ee8bb422e52e9c22f1b7013627812239f1e515fcb792e199a70700f2,
53,54,حساب قرض الحسنه جاری,CUR,CBI_CURRENT_ACCOUNT_FEE_GROUP,6-1-9,,CBI_CHEQUEBOOK_ISSUE_FEE,صدور دسته چک,مبلغ ثابت,FIXED,Flat,75000,,,,,,IRR,هزینه تمبر + مبلغ پرداختی به چاپخانه دولتی (بهای تمام شده),"75,000 ریال+ مبلغ پرداختی به چاپ خانه دولتی (بهای تمام شده)+ هزینه تمبر",صدور دسته چک,EXISTING_ENRICHED,,4f1fab4bfb4f6f952b0d9196fe4bc9731ef70d86bdf0d204685e71c76cb59884,
54,55,حساب قرض الحسنه جاری,CUR,CBI_CURRENT_ACCOUNT_FEE_GROUP,6-1-10,,CBI1404_CUR_6_1_10_01,صدور المثنی گواهی نامه عدم پرداخت صادر شده قبلی به درخواست مشتری,مبلغ ثابت,FIXED,Flat,27500,,,,,,IRR,,"27,500 ریال",صدور المثنی گواهی نامه عدم پرداخت صادر شده قبلی به درخواست مشتری,SAFE,,596844d49d401910633920c937db2649943811fc5df477ce91fd30edee77da60,
55,56,حساب قرض الحسنه جاری,CUR,CBI_CURRENT_ACCOUNT_FEE_GROUP,6-1-11,,CBI1404_CUR_6_1_11_01,ابطال چک جاری اشخاص به درخواست مشتری با ارائه چک باطل شده,مبلغ ثابت,FIXED,Flat,13750,,,,,,IRR,,"13,750 ریال",ابطال چک جاری اشخاص به درخواست مشتری با ارائه چک باطل شده,SAFE,,fa9dbe5a2efe91fa3a66143eadde45f6fefa8b7898beb9d083edcb0fc1c0a6c9,
56,57,حساب قرض الحسنه جاری,CUR,CBI_CURRENT_ACCOUNT_FEE_GROUP,6-1-12,,CBI1404_CUR_6_1_12_01,اخذ صورت اطلاعات چک های برگشتی به درخواست مشتری,مبلغ ثابت,FIXED,Flat,33000,,,,,,IRR,,"33,000 ریال",اخذ صورت اطالعات چک های برگشتی به درخواست مشتری,SAFE,,47b6feebbd4ec528b41df983ccd5c422d057603c7d391bdfcd5bfdcd19cfb195,
57,58,حساب قرض الحسنه جاری,CUR,CBI_CURRENT_ACCOUNT_FEE_GROUP,6-1-13,,CBI1404_CUR_6_1_13_01,افتتاح حساب جاری موقت(در شرف تأسیس),مبلغ ثابت,FIXED,Flat,75000,,,,,,IRR,,"75,000 ریال",افتتاح حساب جاری موقت(در شرف تأسیس),SAFE,,0222657582ef79575dbc4653770dba76bc8456f5010e3e3e180e082e14c14672,
58,59,حساب قرض الحسنه جاری,CUR,CBI_CURRENT_ACCOUNT_FEE_GROUP,6-1-14,,CBI1404_CUR_6_1_14_01,تحویل دسته چک در شعبه غیر از دارنده حساب جاری,مبلغ ثابت,FIXED,Flat,30000,,,,,,IRR,,"30,000 ریال",تحویل دسته چک در شعبه غیر از دارنده حساب جاری,SAFE,,3021f67d0f3a3dea76b2f134718ce5ea0d16dbf8a934748754042e2410c7ecca,
59,60,حساب قرض الحسنه جاری,CUR,CBI_CURRENT_ACCOUNT_FEE_GROUP,6-1-15,,CBI1404_CUR_6_1_15_01,نگهداری امانی چک های با سررسید بیش از 30 روز (به استثنای چک های تسهیلاتی),مبلغ ثابت,EXTERNAL_VALUE,Other,,,,,,,IRR,برگ چک,"بابت هر برگ چک 7,500 ریال",نگهداری امانی چک های با سررسید بیش از 30 روز,REVIEW_CONFLICT,"مبلغ ساختاری 75,000 ریال است ولی متن نوع خدمت 7,500 ریال بابت هر برگ چک ذکر می‌کند؛ نیازمند تأیید منبع مقرراتی.",d0f70f9a3b16c068dfd289a47fdcbe02d5a9b7acf3434f622f6a470508bb8cf0,
60,61,حساب قرض الحسنه جاری,CUR,CBI_CURRENT_ACCOUNT_FEE_GROUP,6-1-16,,CBI1404_CUR_6_1_16_01,صدور چک موردی جاری اشخاص,مبلغ ثابت,FIXED,Flat,87500,,,,,,IRR,,"87,500 ریال",صدور چک موردی جاری اشخاص,SAFE,,99f65aac9aa71d2a408e1f0c8198ba8ba4df8468719e0d9d6015e00733ac4346,
61,62,حساب های قرض الحسنه پس انداز و سپرده کوتاه مدت,SAV,CBI_SAVINGS_DEPOSIT_FEE_GROUP,6-2-1,,CBI1404_SAV_6_2_1_01,افتتاح حساب و صدور دفترچه سپرده قرض الحسنه پس انداز,مبلغ ثابت,FIXED,Flat,0,,,,,,IRR,,بدون کارمزد,افتتاح حساب و صدور دفترچه سپرده قرض الحسنه پس انداز,SAFE,,b47a52af24a283f1da7c1cc5d722a0e310904263e9fec73d559028af43d44fa3,
