tariff_code,section_no,section_code,feature_code,section_name,service_name,fee_text,fee_code,category_code,strategy,basis_type,fixed_amount,rate_value,min_fee,max_fee,rate_period_code,component_count,composite,page,source_row,config_hash
6-1-1,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,تقاضای عدم پرداخت چک,"هر برگ چک 288,000 ریال",CBI1405R_ACC_6_1_1,CBI1405R_ACC,PER_UNIT,PerUnit,288000,,,,,1,خیر,4,51,9178b4d49b6ba8108a4af30ae08e877b6aaa37388937b73c590db48164db9102
6-1-2,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,صدور گواهی نامه عدم پرداخت وجه چک,"288,000 ریال",CBI1405R_ACC_6_1_2,CBI1405R_ACC,FIXED,Flat,288000,,,,,1,خیر,4,52,e2baf008ded01e348ffbf642555a752ea27899c899d5226908e0908bb60c514d
6-1-3,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,رفع سوء اثر برای هر برگ چک,"288,000 ریال",CBI1405R_ACC_6_1_3,CBI1405R_ACC,FIXED,Flat,288000,,,,,1,خیر,4,53,c71608b91cfa9a7c5590bc736d19737841f41b9c98590d7740af285d877b748a
6-1-4,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,انتقال حساب جاری به شعبه دیگر در هر شهر (بنا به درخواست مشتری),"864,000 ریال + هزینه پست در صورت وجود",CBI1405R_ACC_6_1_4,CBI1405R_ACC,FIXED,Flat,864000,,,,,1,خیر,4,54,cabe007e9fd49dfe1f9ca37e422f08bd5bdff01921c62efe6b6ba689b8d194bf
6-1-5,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,اخذ هرگونه اطلاعات لازم جهت افتتاح حساب سپرده قرض الحسنه جاری با/بدون دسته چک,"حداقل 120,000 ریال + هزینه استعلام (هزینه استعلام از سامانه های ذی ربط نظیر سامانه شاهکار می باشد)",CBI1405R_ACC_6_1_5,CBI1405R_ACC,FIXED,Flat,,,120000,,,1,خیر,4,55,1aee1e421606d5bd8a00f1c080c15c250bd4fa5c50c0c9ad7024e74dac7fad6e
6-1-6,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,افتتاح حساب سپرده قرض الحسنه جاری موقت (برای شخص حقوقی در شرف تأسیس),"120,000 ریال",CBI1405R_ACC_6_1_6,CBI1405R_ACC,FIXED,Flat,120000,,,,,1,خیر,4,56,ff038b316d4d4f746dfec96a0ef8b7bb22377cf3340dd1bc0c995fb203a1c8c5
6-1-7,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,چک های واگذاری عهده سایر مؤسسات اعتباری (از ذی نفع چک),"هر فقره 28,800 ریال",CBI1405R_ACC_6_1_7,CBI1405R_ACC,PER_UNIT,PerUnit,28800,,,,,1,خیر,4,57,1a82c06fb509faebb4801c768e41814b2f16305519144db45fabe9cab0eb34ae
6-1-8,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,انتقال وجه از سایر حساب های مشتری بابت تأمین وجه چک,"از هر حساب 144,000 ریال",CBI1405R_ACC_6_1_8,CBI1405R_ACC,PER_UNIT,PerUnit,144000,,,,,1,خیر,4,58,ce8aa7d18b8e40eb11abc0a77b40da12d59e1cc67aa2d6921fa4add9c4c5a293
6-1-9,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,اخذ گزارش اعتباری برای صدور دسته چک اشخاص حقیقی,مطابق تعرفه ابلاغی بانک مرکزی به شرکت رتبه بندی اعتباری ایران,CBI1405R_ACC_6_1_9,CBI1405R_ACC,COMPOSITE,Other,,,,,,1,بله,4,59,c8aece82449f7a649715f29da06eb33cc1087be07050dbb435357fe7f65ec56b
6-1-10,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,صدور دسته چک,"120,000 ریال + مبلغ پرداختی به چاپخانه دولتی (بهای تمام شده) + هزینه تمبر مالیاتی",CBI1405R_ACC_6_1_10,CBI1405R_ACC,FIXED,Flat,120000,,,,,1,خیر,4,60,8ed8819dea5829e4f2a8cd57382f6f245e4223a406c542c75a24a63ff028e3ce
6-1-11,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,صدور المثنی (چاپ مجدد) گواهی نامه عدم پرداخت صادرشده قبلی به درخواست مشتری,"44,000 ریال",CBI1405R_ACC_6_1_11,CBI1405R_ACC,FIXED,Flat,44000,,,,,1,خیر,4,61,ecf64820e239918c84d0caa2f3e3450188766b613e1afe09f92caa11cb45de4f
6-1-12,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,ابطال/استرداد چک صادره توسط اشخاص به درخواست مشتری با ارائه لاشه چک باطل شده,"22,000 ریال",CBI1405R_ACC_6_1_12,CBI1405R_ACC,FIXED,Flat,22000,,,,,1,خیر,4,62,473e6dd22b2d9242afc17c3ea90cb77e95ccd5a3f28cf85173f1e52f503feeb6
6-1-13,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,اخذ صورت اطلاعات چک های برگشتی به درخواست مشتری,"52,800 ریال",CBI1405R_ACC_6_1_13,CBI1405R_ACC,FIXED,Flat,52800,,,,,1,خیر,4,63,9a1e833a9bb45895d1859caf1c5665b2935952f9aa2e096cf38a8dd2f03d4178
6-1-14,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,تحویل دسته چک به مشتری در شعبه ای غیر از شعبه افتتاح کننده حساب سپرده قرض الحسنه جاری,"48,000 ریال",CBI1405R_ACC_6_1_14,CBI1405R_ACC,FIXED,Flat,48000,,,,,1,خیر,4,64,782fb126b7862199aabc514e06917751172b223f26b767977126a913a142a9db
6-1-15,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,نگهداری امانی چک های با سررسید بیش از 30 روز (به استثنای چک های مأخوذه بابت تضمین تسهیلات),"بابت هر برگ چک 12,000 ریال",CBI1405R_ACC_6_1_15,CBI1405R_ACC,PER_UNIT,PerUnit,12000,,,,,1,خیر,4,65,0fc4b9a4003f2b990354f1a5c6588278e7ec2163e189ab53e475e3c6cb6d99cd
6-1-16,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,صدور چک موردی جاری اشخاص,"140,000 ریال",CBI1405R_ACC_6_1_16,CBI1405R_ACC,FIXED,Flat,140000,,,,,1,خیر,4,66,42bee16d3066c0830fb287fe8e7928ef758021019797fe25448b76a26e5c1375
6-2-1,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,افتتاح حساب سپرده قرض الحسنه پس انداز,بدون کارمزد,CBI1405R_ACC_6_2_1,CBI1405R_ACC,FIXED,Flat,0,,,,,1,خیر,5,67,5c296826b4b6d79477ad04665de7418c046ff827c4ee5ef9dccb7ad29bfc7deb
6-2-2,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,افتتاح حساب سپرده سرمایه گذاری کوتاه مدت,"120,000 ریال",CBI1405R_ACC_6_2_2,CBI1405R_ACC,FIXED,Flat,120000,,,,,1,خیر,5,68,6e7b733e0416f2249118777d8016ab816fb3dfba635b8df09e387b68eca4b1c8
6-2-3,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,صدور هر جلد دفترچه صرفاً جهت حساب های سپرده سرمایه گذاری کوتاه مدت,"96,000 ریال",CBI1405R_ACC_6_2_3,CBI1405R_ACC,FIXED,Flat,96000,,,,,1,خیر,5,69,91e38158c3fe5a0e9e1a3601e3fa177bedba9352c9bde44ab412b5c1294cd87a
6-3-1,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,صدور هرگونه گواهی حساب,"201,500 ریال",CBI1405R_ACC_6_3_1,CBI1405R_ACC,FIXED,Flat,201500,,,,,1,خیر,5,70,69fefcc63cfaa229ab2b1474b36515a2950f01de3893d097343c4803bb038037
6-3-2,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,صدور گواهی حساب به لاتین,"هر فقره 432,000 ریال",CBI1405R_ACC_6_3_2,CBI1405R_ACC,PER_UNIT,PerUnit,432000,,,,,1,خیر,5,71,2a01716b35741686dfc27abdbedbab9b42531bceb194a531d55ff40d3bd34ec7
6-3-3,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,صدور المثنی گواهی سپرده های سرمایه گذاری ویژه کوتاه مدت و بلندمدت,"132,000 ریال",CBI1405R_ACC_6_3_3,CBI1405R_ACC,FIXED,Flat,132000,,,,,1,خیر,5,72,f8be683a202b2ef102c707c93b45f081c784aa372867eb179031930e4b2db957
6-4-1,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,ارائه نسخه فیزیکی صورت حساب به مشتری,"هر صفحه 14,500 ریال",CBI1405R_ACC_6_4_1,CBI1405R_ACC,PER_UNIT,PerUnit,14500,,,,,1,خیر,5,73,0d058d556b5b17540b9e3dc41c5d333ae591e202520773a1f2bbad1aa774dca6
6-4-2,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,ارائه نسخه الکترونیکی (فایل) صورت حساب به مشتری,"96,000 ریال",CBI1405R_ACC_6_4_2,CBI1405R_ACC,FIXED,Flat,96000,,,,,1,خیر,5,74,864cc2e25017e991a3ea761584665f09afe4a1c7a19af5f544e981d18e2fa5a5
6-5-1,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,ارتباط هر حساب جدید با کارت (پس از صدور کارت) - از طریق مراجعه به شعبه,"43,000 ریال",CBI1405R_ACC_6_5_1,CBI1405R_ACC,FIXED,Flat,43000,,,,,1,خیر,5,75,dff98b5cb3ac62981dcf72e54a9298692ad9458a1322860cd75e6707a441a5fa
6-5-2,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,تغییر حساب اصلی کارت - از طریق مراجعه به شعبه,"72,000 ریال",CBI1405R_ACC_6_5_2,CBI1405R_ACC,FIXED,Flat,72000,,,,,1,خیر,5,76,7c51bf0d6843e19a7a7e32270f6f2aec51ecb18255f8d937e47b8c7a05f8a1ad
6-5-3,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,فعال سازی حساب های راکد - از طریق مراجعه به شعبه,"هر حساب 52,000 ریال",CBI1405R_ACC_6_5_3,CBI1405R_ACC,PER_UNIT,PerUnit,52000,,,,,1,خیر,5,77,e00c89a2088ff4bf36dd5231423716941b0286583c4a9805ec3976c7d1d6a3f5
6-5-4,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,فعال سازی حساب های مطالبه نشده و تعیین تکلیف نشده - از طریق مراجعه به شعبه,"هر حساب 52,000 ریال",CBI1405R_ACC_6_5_4,CBI1405R_ACC,PER_UNIT,PerUnit,52000,,,,,1,خیر,5,78,e31bbfeb5b9b945af378d746429a3850f604d07615c079c162178f4c9c6a9e31
6-5-5,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,انتقال و واگذاری سپرده سرمایه گذاری بلندمدت به اشخاص مجاز طبق ضوابط ابلاغی بانک مرکزی,"145,000 ریال بابت هر بار انتقال",CBI1405R_ACC_6_5_5,CBI1405R_ACC,PER_UNIT,PerUnit,145000,,,,,1,خیر,5,79,6d61bde66c5e22f23237c4a0aed47309cc153cb2eeb701d5ed884278a5304ae9
6-5-6,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,انسداد یا رفع انسداد انواع حساب/کارت به درخواست مشتری - از طریق مراجعه به شعبه,"72,000 ریال",CBI1405R_ACC_6_5_6,CBI1405R_ACC,FIXED,Flat,72000,,,,,1,خیر,5,80,40ae601323af78c1c5f891d53e0c9aa7dc4a0cdd2200ebfd9c7348fe3172701c
6-5-7,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,تغییر در شرایط/اطلاعات انواع حساب (نظیر صاحبان امضاء و آدرس) به درخواست مشتری - از طریق مراجعه به شعبه,"برای اشخاص حقیقی: 48,000 ریال؛ برای اشخاص حقوقی: 120,000 ریال",CBI1405R_ACC_6_5_7,CBI1405R_ACC,COMPOSITE,Other,,,,,,2,بله,5,81,a88086b4e7713acc29cd57341d640d826c8ec2b6c256beda6d91eee301882c8b
6-5-8,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,برقراری ارتباط بین انواع حساب با لحاظ کف و سقف مبلغ - از طریق مراجعه به شعبه (به استثنای تأمین وجه چک),"بابت برقراری خدمت 48,000 ریال برای هر نوبت و به ازای هر بار تراکنش 4,800 ریال",CBI1405R_ACC_6_5_8,CBI1405R_ACC,COMPOSITE,Other,,,,,,2,بله,5,82,641dbf81e6104661e73313c157d8a466ec2765a393fbfb8d931857ae9bfe3859
6-5-9,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,ثبت دستور پرداخت مستمر - از طریق مراجعه به شعبه,"برای اشخاص حقیقی: بدون کارمزد؛ برای اشخاص حقوقی: 100,000 ریال برای هر بار تعریف",CBI1405R_ACC_6_5_9,CBI1405R_ACC,COMPOSITE,Other,,,,,,2,بله,5,83,f35bb6419508446f4213a189b8c63fc0402d2b9fbdb029cf48a83dbb483fa6b5
6-5-10,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,انتقال سپرده قرض الحسنه پس انداز و سرمایه گذاری مدت دار به شعب دیگر در هر شهر,"220,000 ریال + هزینه پست در صورت وجود",CBI1405R_ACC_6_5_10,CBI1405R_ACC,FIXED,Flat,220000,,,,,1,خیر,5,84,70748664c43df67cdf4e008ba0981bcb933dea7585e5cc59c7aefc82715759f4
6-5-11,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,انسداد یا رفع انسداد انواع حساب یا موجودی که از سوی مراجع ذی صلاح به هر طریق به مؤسسه اعتباری اعلام می گردد,بدون کارمزد,CBI1405R_ACC_6_5_11,CBI1405R_ACC,FIXED,Flat,0,,,,,1,خیر,5,85,6317440ff72aa0ca899ab8b2dd30c8f79aad30426798001da88349c220b03c9c
6-5-12,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,صدور رمز جدید برای انواع کارت های بانکی (نقدی، اعتباری و هدیه) به درخواست مشتری - از طریق مراجعه به شعبه,"24,000 ریال",CBI1405R_ACC_6_5_12,CBI1405R_ACC,FIXED,Flat,24000,,,,,1,خیر,5,86,edd2b6dd6aeef9e707ade89330bec098e0d22da301da3353d04c9fe3acd6af9a
6-5-13,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,هزینه آبونمان سالانه کارت اعتباری مراجعه,یک درصد اعتبار تخصیص یافته به دارنده کارت,CBI1405R_ACC_6_5_13,CBI1405R_ACC,PERCENTAGE,Percentage,,0.01,,,,1,خیر,5,87,173d9961dfd5f8f849de71fe15128f8dfb0d8d4f98de528e91a56d4ff12a9ca3
6-5-14,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,بررسی تراکنش های کارت های مفقودی/سرقتی به درخواست مشتری از طریق مراجعه به شعبه,"40,000 ریال بابت هر شماره پیگیری",CBI1405R_ACC_6_5_14,CBI1405R_ACC,PER_UNIT,PerUnit,40000,,,,,1,خیر,5,88,3e22b743eaff68cc5b1df69bc40f56015407b6956229451cb4bb47ea43abcce9
6-5-15,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,تعیین سقف برداشت/واریز به حساب به درخواست مشتری از طریق مراجعه به شعبه,"40,000 ریال",CBI1405R_ACC_6_5_15,CBI1405R_ACC,FIXED,Flat,40000,,,,,1,خیر,5,89,e7cdfdd02550cf27061c733c5104ac7b315fd4371bcb796ab6b702fbe2072de2
6-5-16,6,ACC,CBI_RIAL_1405_ACCOUNT_GROUP,انواع حساب ها,بستن انواع حساب در شعبه ای غیر از شعبه افتتاح کننده حساب به درخواست مشتری از طریق مراجعه به شعبه,"100,000 ریال",CBI1405R_ACC_6_5_16,CBI1405R_ACC,FIXED,Flat,100000,,,,,1,خیر,5,90,67728b6cf84fccde3aa1b5cc7acf479c17984fead98faa5a6a38c850af4563ba
7-1,7,APP,CBI_RIAL_1405_APPRAISAL_GROUP,ارزیابی اموال منقول و غیرمنقول,ارزیابی ماشین آلات و کالا,"تا چهار میلیارد ریال مبلغ ارزیابی: 4,140,000 ریال؛ بیش از چهار میلیارد ریال تا 800 میلیارد ریال نسبت به مازاد: 2 در هزار یا معادل تعرفه کارشناسان رسمی دادگستری، هر کدام که کمتر باشد؛ مازاد بر 800 میلیارد ریال: ارجاع به کارشناس رسمی دادگستری",CBI1405R_APP_7_1,CBI1405R_APP,COMPOSITE,Other,,,,,,3,بله,6,91,623979f41e4504e7651399854d6a28c6a4834a0fbab1006fe2fa0f127d16fc5f
7-2,7,APP,CBI_RIAL_1405_APPRAISAL_GROUP,ارزیابی اموال منقول و غیرمنقول,ارزیابی املاک و ساختمان,"تا چهار میلیارد ریال مبلغ ارزیابی: 4,140,000 ریال؛ بیش از چهار میلیارد ریال تا 800 میلیارد ریال نسبت به مازاد: 2 در هزار یا معادل تعرفه کارشناسان رسمی دادگستری، هر کدام که کمتر باشد؛ مازاد بر 800 میلیارد ریال: ارجاع به کارشناس رسمی دادگستری",CBI1405R_APP_7_2,CBI1405R_APP,COMPOSITE,Other,,,,,,3,بله,6,92,2336a9473bf1898a5505dc22cf7b8e0b11b8ef45b9eb247fa6f0ef9be5b74adb
7-3,7,APP,CBI_RIAL_1405_APPRAISAL_GROUP,ارزیابی اموال منقول و غیرمنقول,ارزیابی املاک مزروعی و باغات,"تا چهار میلیارد ریال مبلغ ارزیابی: 4,140,000 ریال؛ بیش از چهار میلیارد ریال تا 800 میلیارد ریال نسبت به مازاد: 2 در هزار یا معادل تعرفه کارشناسان رسمی دادگستری، هر کدام که کمتر باشد؛ مازاد بر 800 میلیارد ریال: ارجاع به کارشناس رسمی دادگستری",CBI1405R_APP_7_3,CBI1405R_APP,COMPOSITE,Other,,,,,,3,بله,6,93,180e93e0b262167e526d8b2b9e487addcb6572d03f5cbda322f58a189536d81c
7-4,7,APP,CBI_RIAL_1405_APPRAISAL_GROUP,ارزیابی اموال منقول و غیرمنقول,ارزیابی میزان پیشرفت فیزیکی طرح های موضوع تسهیلات مشارکت مدنی (برآورد هزینه و آورده غیرنقدی شریک),"تا چهار میلیارد ریال مبلغ ارزیابی: 4,140,000 ریال؛ بیش از چهار میلیارد ریال تا 800 میلیارد ریال نسبت به مازاد: 2 در هزار یا معادل تعرفه کارشناسان رسمی دادگستری، هر کدام که کمتر باشد؛ مازاد بر 800 میلیارد ریال: ارجاع به کارشناس رسمی دادگستری",CBI1405R_APP_7_4,CBI1405R_APP,COMPOSITE,Other,,,,,,3,بله,6,94,bfa3bbd7ff510908e885c4ad30fb8c34c6a128bf5351e38d2d55d35bb872005d
7-5,7,APP,CBI_RIAL_1405_APPRAISAL_GROUP,ارزیابی اموال منقول و غیرمنقول,بازدید تسهیلات تعمیر مسکن/بازدید نوبت های اضافی تسهیلات تعمیر مسکن در قالب کلیه عقود,"مقطوع 1,000,000 ریال",CBI1405R_APP_7_5,CBI1405R_APP,FIXED,Flat,1000000,,,,,1,خیر,6,95,0643a4c337e1a78c3f0ed03347a0178e9403a96bc9602bd3f7ca626181417e20
7-6,7,APP,CBI_RIAL_1405_APPRAISAL_GROUP,ارزیابی اموال منقول و غیرمنقول,ارزیابی مجدد به درخواست مشتری (به غیر از تسهیلات جعاله تعمیر مسکن),الف) در صورت ارزیابی مجدد به درخواست مؤسسه اعتباری یا سایر مراجع ذی صلاح، کارمزدی از مشتری اخذ نخواهد شد. ب) در صورت ارزیابی مجدد به درخواست مشتری و تا 6 ماه پس از ارزیابی قبلی، حداکثر کارمزد قابل مطالبه 30 درصد رقم کل کارمزد ارزیابی است؛ پس از 6 ماه، کارمزد ارزیابی در چارچوب ردیف های 7-1 تا 7-4 دریافت می شود,CBI1405R_APP_7_6,CBI1405R_APP,COMPOSITE,Other,,,,,,3,بله,6,96,9035cc34bb9f3b37894fb2a5cdb5796f06c3abac11ae4d9c22c3625bd39e8e68
7-7,7,APP,CBI_RIAL_1405_APPRAISAL_GROUP,ارزیابی اموال منقول و غیرمنقول,ارزیابی وثایق غیرمنقول مازاد,"تا چهار میلیارد ریال مبلغ ارزیابی: 4,140,000 ریال؛ بیش از چهار میلیارد ریال تا 800 میلیارد ریال نسبت به مازاد: 2 در هزار یا معادل تعرفه کارشناسان رسمی دادگستری، هر کدام که کمتر باشد؛ مازاد بر 800 میلیارد ریال: ارجاع به کارشناس رسمی دادگستری",CBI1405R_APP_7_7,CBI1405R_APP,COMPOSITE,Other,,,,,,3,بله,6,97,67272638e4ee7de9a5c94bccea5dcc838955efa20126a6e9415cf75104e89448
8-1,8,CRD,CBI_RIAL_1405_CREDIT_GROUP,اعتبارات,اخذ استعلام اعتبارسنجی از شرکت رتبه بندی اعتباری ایران,مطابق تعرفه ابلاغی بانک مرکزی به شرکت مذکور,CBI1405R_CRD_8_1,CBI1405R_CRD,COMPOSITE,Other,,,,,,1,بله,7,98,879a99d17e13d0404ef840c36535aadc2c79555c986dabe7738549b612dbed6b
8-2,8,CRD,CBI_RIAL_1405_CREDIT_GROUP,اعتبارات,واگذاری سهم الشرکه بانک به غیر (1),مطابق تعرفه ارزیابی اموال منقول و غیرمنقول مندرج در سرفصل 7,CBI1405R_CRD_8_2,CBI1405R_CRD,COMPOSITE,Other,,,,,,1,بله,7,99,8bd4714ec36b08527c1171f071950107faf3bae02269c1a02ed251e94b3823ea
8-3,8,CRD,CBI_RIAL_1405_CREDIT_GROUP,اعتبارات,تمدید تسهیلات عقود مشارکتی,"0.5 درصد مبلغ تسهیلات، حداکثر 5,760,000 ریال",CBI1405R_CRD_8_3,CBI1405R_CRD,PERCENTAGE_WITH_CAP,RateWithMaximumAmount,,0.005,,5760000,,1,خیر,7,100,6c6501f2e53b885272a4d2224277f055f93bebc14be825771f1f986f27bd92eb
8-4,8,CRD,CBI_RIAL_1405_CREDIT_GROUP,اعتبارات,بررسی اصالت پیش فاکتور,بدون کارمزد,CBI1405R_CRD_8_4,CBI1405R_CRD,FIXED,Flat,0,,,,,1,خیر,7,101,031252a94c2efee02572553dde30be0acb65b95c1616828237a27a1d4af64944
8-5,8,CRD,CBI_RIAL_1405_CREDIT_GROUP,اعتبارات,صلح حقوق یا انتقال تعهد,"یک درصد مانده اصل تسهیلات قابل انتقال، حداقل 2,880,000 ریال و حداکثر 144,000,000 ریال",CBI1405R_CRD_8_5,CBI1405R_CRD,PERCENTAGE_FLOOR_CAP,Other,,0.01,2880000,144000000,,1,خیر,7,102,12363d73685e89e2a7541e2e44ff2c17dc0e8ed068e44e90b50575ccd527462a
8-6,8,CRD,CBI_RIAL_1405_CREDIT_GROUP,اعتبارات,تغییر در شرایط قرارداد,"مقطوع 220,000 ریال",CBI1405R_CRD_8_6,CBI1405R_CRD,FIXED,Flat,220000,,,,,1,خیر,7,103,86bb98d2fae1f7838c8dc09063bd8497c6e1e8c73a51c6741da7f7877c2fadea
8-7,8,CRD,CBI_RIAL_1405_CREDIT_GROUP,اعتبارات,تفکیک، تغییر و تعویض رهینه با وثیقه (تسهیلات و تعهدات),"مقطوع 2,880,000 ریال",CBI1405R_CRD_8_7,CBI1405R_CRD,FIXED,Flat,2880000,,,,,1,خیر,7,104,1f9cc73ed332591cb48c6f00d5a7a47ad76a29328ecd8946e80da9f79ba6d1b4
8-8,8,CRD,CBI_RIAL_1405_CREDIT_GROUP,اعتبارات,اقاله ملک,"مقطوع 4,320,000 ریال",CBI1405R_CRD_8_8,CBI1405R_CRD,FIXED,Flat,4320000,,,,,1,خیر,7,105,98f54ce2eb08a5d163feed2ffc0e77f9d79f8b3a04bdfa665ce4054d23aebe74
8-9,8,CRD,CBI_RIAL_1405_CREDIT_GROUP,اعتبارات,امور مربوط به نظارت بر مصرف تسهیلات (جهت انواع تسهیلاتی که به صورت دفعات واحده نیست و همچنین متناسب با پیشرفت کار پرداخت می گردد) (2),0.5 در هزار مبلغ پرداخت شده در هر مرحله قبل,CBI1405R_CRD_8_9,CBI1405R_CRD,PERCENTAGE,Percentage,,0.0005,,,,1,خیر,7,106,b7ca1e05285be7f703276e8be4ddfd9a9ec3ce6cd5733aac43a749e7273af8db
8-10,8,CRD,CBI_RIAL_1405_CREDIT_GROUP,اعتبارات,امور مربوط به بررسی رهن مازاد سایر سازمان ها و مؤسسات اعتباری,"مقطوع 2,880,000 ریال",CBI1405R_CRD_8_10,CBI1405R_CRD,FIXED,Flat,2880000,,,,,1,خیر,7,107,4cd97148119b14f3356060224751e5eb0258c9dfc2652948aff1018c84ec0ee7
8-11,8,CRD,CBI_RIAL_1405_CREDIT_GROUP,اعتبارات,تکمیل فرم یارانه تسهیلات تکلیفی,"مقطوع 264,000 ریال",CBI1405R_CRD_8_11,CBI1405R_CRD,FIXED,Flat,264000,,,,,1,خیر,7,108,c78230f37e8b07005dc63622bc31dbeb7d442dcecac008a19d1fc26a6ebc685d
8-12,8,CRD,CBI_RIAL_1405_CREDIT_GROUP,اعتبارات,صدور اخطاریه کتبی جهت اقساط یا مطالبات غیرجاری,"هر برگ 576,000 ریال به علاوه هزینه پستی (در صورت وجود)",CBI1405R_CRD_8_12,CBI1405R_CRD,PER_UNIT,PerUnit,576000,,,,,1,خیر,7,109,7a9c5cd5028c838c0098602b0bb5e87fb30f3bbb692e3eee7c732e6301c86b8d
8-13,8,CRD,CBI_RIAL_1405_CREDIT_GROUP,اعتبارات,انتقال ملک مرهونه به شخص ثالث,"مقطوع 2,880,000 ریال",CBI1405R_CRD_8_13,CBI1405R_CRD,FIXED,Flat,2880000,,,,,1,خیر,7,110,2413bcb393fee7999116dac2b69ce803a0f60b14a3165694ed0ae99e66ea6e54
8-14,8,CRD,CBI_RIAL_1405_CREDIT_GROUP,اعتبارات,تغییر ضامن/گیرنده تسهیلات/تعهدات,"مقطوع 2,880,000 ریال",CBI1405R_CRD_8_14,CBI1405R_CRD,FIXED,Flat,2880000,,,,,1,خیر,7,111,602398dda2ec26b34ed99ed0f1da3c8b76b61b65d8d7d5e6a5c5dd7d89469213
8-15,8,CRD,CBI_RIAL_1405_CREDIT_GROUP,اعتبارات,عدم استفاده از حد اعتباری تسهیلات مصوب پس از 45 روز از تاریخ ابلاغ (Commitment fee),یک درصد در سال به ازای مانده استفاده نشده از تاریخ ابلاغ,CBI1405R_CRD_8_15,CBI1405R_CRD,ANNUALIZED_PERCENTAGE,Percentage,,0.01,,,YEAR,1,خیر,7,112,267cc361c46260f48fa37685164f4265fe026c33a0107165fa651662e4f6061d
8-16,8,CRD,CBI_RIAL_1405_CREDIT_GROUP,اعتبارات,هزینه کارشناسی (ارزیابی) طرح ها,1.5 در هزار تسهیلات مصوب (فقط سهم بانک)، شامل 0.5 در هزار مبلغ درخواستی در هنگام پذیرش طرح که از مشتری اخذ شده و غیرقابل برگشت است؛ مابقی در صورت تصویب تا میزان 1.5 در هزار پس از کسر 0.5 در هزار مبلغ مأخوذه قبلی، در زمان انعقاد قرارداد از مشتری اخذ می گردد,CBI1405R_CRD_8_16,CBI1405R_CRD,COMPOSITE,Other,,,,,,2,بله,7,113,e22bd343e28ec82d5eb0d4e77f89aa50ee12238c2e27d8b6ecfab02809358022
