tariff_code,section_no,section_code,feature_code,section_name,service_name,fee_text,fee_code,category_code,strategy,basis_type,fixed_amount,rate_value,min_fee,max_fee,rate_period_code,component_count,composite,page,source_row,config_hash
1-11,1,GAR,CBI_RIAL_1405_GUARANTEE_GROUP,صدور، تمدید، تقلیل، انتقال و ابطال ضمانتنامه شرکت در مناقصه، مزایده و سایر ضمانتنامه ها,ضمانتنامه در مقابل سایر اموال غیرمنقول,"1.5 درصد مبلغ در سال، حداقل 1,300,000 ریال",CBI1405R_GAR_1_11,CBI1405R_GAR,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,0.015,1300000,,YEAR,1,خیر,1,12,9d22d524600e25e51781bbaac6c476c44b9b4b51ac49818d6877f611c485da0b
1-12,1,GAR,CBI_RIAL_1405_GUARANTEE_GROUP,صدور، تمدید، تقلیل، انتقال و ابطال ضمانتنامه شرکت در مناقصه، مزایده و سایر ضمانتنامه ها,ضمانتنامه در مقابل توثیق سند کشتی و هواپیما دارای بیمه نامه معتبر,"1.5 درصد مبلغ در سال، حداقل 1,300,000 ریال",CBI1405R_GAR_1_12,CBI1405R_GAR,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,0.015,1300000,,YEAR,1,خیر,1,13,10139767847660285c38147ff2c59a2b926ac5605962685378a283966ae51749
1-13,1,GAR,CBI_RIAL_1405_GUARANTEE_GROUP,صدور، تمدید، تقلیل، انتقال و ابطال ضمانتنامه شرکت در مناقصه، مزایده و سایر ضمانتنامه ها,ضمانتنامه در مقابل اسناد تجاری نظیر سفته و چک,"2.25 درصد مبلغ در سال، حداقل 1,300,000 ریال",CBI1405R_GAR_1_13,CBI1405R_GAR,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,0.0225,1300000,,YEAR,1,خیر,1,14,4c614b8302dca6aff5acd736d352d7b4f8e3aa87d660f9e2c1a3bf195f0636ca
1-14,1,GAR,CBI_RIAL_1405_GUARANTEE_GROUP,صدور، تمدید، تقلیل، انتقال و ابطال ضمانتنامه شرکت در مناقصه، مزایده و سایر ضمانتنامه ها,ضمانتنامه در مقابل رسید انبارهای عمومی,"2 درصد مبلغ در سال، حداقل 1,300,000 ریال",CBI1405R_GAR_1_14,CBI1405R_GAR,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,0.02,1300000,,YEAR,1,خیر,1,15,06f4f71f51618610c8ecbdd42db6dd6f9a33cca3dfabd305a178d0a526f53bd8
1-15,1,GAR,CBI_RIAL_1405_GUARANTEE_GROUP,صدور، تمدید، تقلیل، انتقال و ابطال ضمانتنامه شرکت در مناقصه، مزایده و سایر ضمانتنامه ها,ضمانتنامه در مقابل سایر وثایق,2.25 درصد در سال,CBI1405R_GAR_1_15,CBI1405R_GAR,ANNUALIZED_PERCENTAGE,Percentage,,0.0225,,,YEAR,1,خیر,1,16,6d29b4b0b2cb404c1d3e3a5c7914f43b62b75c6fc8d090821ccd6a247e160a5e
1-16,1,GAR,CBI_RIAL_1405_GUARANTEE_GROUP,صدور، تمدید، تقلیل، انتقال و ابطال ضمانتنامه شرکت در مناقصه، مزایده و سایر ضمانتنامه ها,تمدید ضمانتنامه,"کارمزد تمدید برابر با نرخ صدور ضمانتنامه در زمان تمدید؛ حداقل 1,300,000 ریال",CBI1405R_GAR_1_16,CBI1405R_GAR,COMPOSITE,Other,,,,,,1,بله,1,17,2dadc7d20a7063c08f3175b94e488c45f083de6bdc3245feb8ecfc412d2c3270
1-17,1,GAR,CBI_RIAL_1405_GUARANTEE_GROUP,صدور، تمدید، تقلیل، انتقال و ابطال ضمانتنامه شرکت در مناقصه، مزایده و سایر ضمانتنامه ها,تقلیل ضمانتنامه,"کارمزد اخذشده در هنگام صدور نسبت به مابه التفاوت مبلغ برای مدت باقی مانده پس از کسر یک ماه به نفع بانک محاسبه و مسترد می گردد؛ حداقل مبلغ کارمزد صدور ضمانتنامه (1,300,000 ریال) غیرقابل برگشت می باشد",CBI1405R_GAR_1_17,CBI1405R_GAR,COMPOSITE,Other,,,,,,1,بله,1,18,254b4011237f3944cfb660ff2293dfd0f8c7ef9732ff04bc527415eb8eff1220
1-18,1,GAR,CBI_RIAL_1405_GUARANTEE_GROUP,صدور، تمدید، تقلیل، انتقال و ابطال ضمانتنامه شرکت در مناقصه، مزایده و سایر ضمانتنامه ها,ابطال ضمانتنامه قبل از سررسید (غیر از ضبط ضمانتنامه) (5),"کارمزد اخذشده در هنگام صدور نسبت به مابه التفاوت مبلغ برای مدت باقی مانده پس از کسر یک ماه به نفع بانک محاسبه و مسترد می گردد؛ حداقل مبلغ کارمزد صدور ضمانتنامه (1,300,000 ریال) غیرقابل برگشت می باشد",CBI1405R_GAR_1_18,CBI1405R_GAR,COMPOSITE,Other,,,,,,1,بله,1,19,4f30dcea8f4ff7de4c56ad3d14b4a559133bd3d726a94d3ff429c2baf417115e
1-19,1,GAR,CBI_RIAL_1405_GUARANTEE_GROUP,صدور، تمدید، تقلیل، انتقال و ابطال ضمانتنامه شرکت در مناقصه، مزایده و سایر ضمانتنامه ها,صدور المثنی ضمانتنامه های بانکی,"مقطوع 1,300,000 ریال",CBI1405R_GAR_1_19,CBI1405R_GAR,FIXED,Flat,1300000,,,,,1,خیر,1,20,36ff4467014cd57d487955b7f264b01e53952e0f5d0ba9f6a952094380642db4
1-20,1,GAR,CBI_RIAL_1405_GUARANTEE_GROUP,صدور، تمدید، تقلیل، انتقال و ابطال ضمانتنامه شرکت در مناقصه، مزایده و سایر ضمانتنامه ها,انتقال ذی نفع ضمانتنامه,"حداکثر معادل نیم در هزار مبلغ ضمانتنامه صرفاً بر عهده تأمین کننده، با لحاظ حداقل مبلغ کارمزد 1,300,000 ریال مشابه کارمزد صدور ضمانتنامه",CBI1405R_GAR_1_20,CBI1405R_GAR,PERCENTAGE_WITH_FLOOR,RateWithMinimumAmount,,0.0005,1300000,,,1,خیر,1,21,95f29334658529f263295b5e8401c886403b6d1942144429c0ee9441c8bb3384
2-1,2,REM,CBI_RIAL_1405_REMITTANCE_GROUP,حواله ها,صدور چک تضمین شده یا رمزدار بین بانکی,"هر فقره 144,000 ریال",CBI1405R_REM_2_1,CBI1405R_REM,PER_UNIT,PerUnit,144000,,,,,1,خیر,2,22,d24430d6b669eef06d337f8efaa26c64175a30e7ee1d3fc1cf460c029f4ad874
2-2,2,REM,CBI_RIAL_1405_REMITTANCE_GROUP,حواله ها,اعلام منع پرداخت چک های بانکی/بین بانکی مفقودی,"مقطوع 1,152,000 ریال",CBI1405R_REM_2_2,CBI1405R_REM,FIXED,Flat,1152000,,,,,1,خیر,2,23,d8383d1aac3afed03367a70d0c68d7563f0444a4dc5e47a099519668bf2c5748
2-3,2,REM,CBI_RIAL_1405_REMITTANCE_GROUP,حواله ها,صدور المثنی چک بانکی,"هر فقره 144,000 ریال",CBI1405R_REM_2_3,CBI1405R_REM,PER_UNIT,PerUnit,144000,,,,,1,خیر,2,24,f9e72875022796b4e97ef2bf6f92fde44a19b7e9e382e35889e9a07204efffcb
2-4,2,REM,CBI_RIAL_1405_REMITTANCE_GROUP,حواله ها,استرداد/ابطال چک بانکی/بین بانکی به درخواست مشتری,"هر فقره 288,000 ریال",CBI1405R_REM_2_4,CBI1405R_REM,PER_UNIT,PerUnit,288000,,,,,1,خیر,2,25,e1d774cf8c0c5c6e27a0f59a980742203eaba49b769f0ca16bfe58123aa4088e
3-1,3,SDB,CBI_RIAL_1405_SAFE_DEPOSIT_GROUP,صندوق های اجاره ای,صندوق اجاره ای (اجاره بها و ودیعه سالانه),"هر سانتی متر مکعب حجم 288 ریال (حداقل 1,440,000 ریال)؛ همچنین ودیعه اجاره 8 برابر مبلغ اجاره بها، حداقل مبلغ 11,520,000 ریال",CBI1405R_SDB_3_1,CBI1405R_SDB,COMPOSITE,Other,,,,,,2,بله,2,26,d2be2e6bde60dad6f2c284a000c165cf999e1a71f86b710e1b51324d53529708
3-2,3,SDB,CBI_RIAL_1405_SAFE_DEPOSIT_GROUP,صندوق های اجاره ای,هر بار استفاده از صندوق,"120,000 ریال",CBI1405R_SDB_3_2,CBI1405R_SDB,FIXED,Flat,120000,,,,,1,خیر,2,27,af091aba3e46f28d96b3d5e28385a172accbcaf351e5cbb1fbcc4710d703d3c2
3-3,3,SDB,CBI_RIAL_1405_SAFE_DEPOSIT_GROUP,صندوق های اجاره ای,مفقودی کلیدها,"تمامی هزینه های مربوط به قفل ها و کلیدها + 288,000 ریال",CBI1405R_SDB_3_3,CBI1405R_SDB,FIXED,Flat,288000,,,,,1,خیر,2,28,535310cfe1a66c1e74ddce14748a67c6be06d06d7d5776aa3f52506ecca49c2c
3-4,3,SDB,CBI_RIAL_1405_SAFE_DEPOSIT_GROUP,صندوق های اجاره ای,تخلیه و تحویل صندوق,بدون کارمزد,CBI1405R_SDB_3_4,CBI1405R_SDB,FIXED,Flat,0,,,,,1,خیر,2,29,f9227c8064aab415673d659aef726314a20da8cef6fa2155673975e24987a959
