action,fee_code,tariff_code,name_fa,feature_code,effective_to
ARCHIVE_OLD_RIAL,CBI1404_SDB_3_4_01,3-4,تخلیه و تحویل صندوق,CBI_SAFE_DEPOSIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_SDB_3_5_01,3-5,هماهنگی جهت بازدید صندوق اجاره ای به درخواست مراجع ذی صالح بدون کارمزد,CBI_SAFE_DEPOSIT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_SEC_4_1_01,4-1,انتقال هر برگ اوراق گواهی حق تقدم اعطای تسهیلات,CBI_SECURITIES_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_SEC_4_2_01,4-2,صدور هر برگ اوراق المثنی اوراق حق تقدم اعطای تسهیلات,CBI_SECURITIES_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_SEC_4_3_01,4-3,تضمین اصل و سود اوراق بهادار(شامل اوراق مشارکت، صکوک و ...) توسط بانک عامل *,CBI_SECURITIES_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_SEC_4_4_01,4-4,انتقال اوراق بهادار/ نقل و انتقال اوراق گواهی سپرده با نام به شخص ثالث,CBI_SECURITIES_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_SEC_4_5_01,4-5,کارمزد عاملیت و ضمانت اوراق گواهی اعتبار مولد(گام),CBI_SECURITIES_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_SEC_4_6_01,4-6,کارمزد انتقال اوراق گواهی اعتبار مولد(گام),CBI_SECURITIES_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_SEC_4_7_01,4-7,بررسی و پذیرش مطالبات قراردادی با موضوع تأمین کالا,CBI_SECURITIES_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_SEC_4_8_01,4-8,بررسی و پذیرش مطالبات قراردادی با موضوع تأمین خدمات,CBI_SECURITIES_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_SEC_4_9_01,4-9,کارت رفاهی متصل به اوراق گواهی اعتبار مولد(گام) (به صورت اقساط مساوی در دوره بازپرداخت),CBI_SECURITIES_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI_BILL_COLLECTION_FEE,5-1,سفته، برات و قبوض ثبتی وصولی,CBI_BILL_COLLECTION_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_COL_5_2_01,5-2,ابلاغ سفته و برات,CBI_BILL_COLLECTION_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_COL_5_3_01,5-3,واخواست سفته,CBI_BILL_COLLECTION_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_COL_5_4_01,5-4,فروش سفته/ بارنامه (از متقاضی),CBI_BILL_COLLECTION_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CUR_6_1_1_01,6-1-1,تقاضای عدم پرداخت چک,CBI_CURRENT_ACCOUNT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CUR_6_1_2_01,6-1-2,صدور گواهی نامه عدم پرداخت وجه چک(از حساب مشتری),CBI_CURRENT_ACCOUNT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CUR_6_1_3_01,6-1-3,رفع سوء اثر برای هر برگ چک,CBI_CURRENT_ACCOUNT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CUR_6_1_4_01,6-1-4,صدور چک آمنیبوس,CBI_CURRENT_ACCOUNT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CUR_6_1_5_01,6-1-5,انتقال حساب جاری به شعبه دیگر در هر شهر(بنا به درخواست مشتری),CBI_CURRENT_ACCOUNT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CUR_6_1_5_02,6-1-5,اخذ هر گونه اطلاعات لازم جهت افتتاح حساب جاری (با دست چک),CBI_CURRENT_ACCOUNT_FEE_GROUP,2026-09-09
